,Years,CH4(ppb),Temp(Celsius),Temp(Kelvin),CO2(ppm),years_workaround
392,32387.2,428.0,0.88,218.3,420.0,323.872
393,32580.7,447.05,0.88,218.3,420.0,325.807
394,32627.5,457.0,0.88,218.3,420.0,326.275
395,32718.2,489.0,0.88,218.3,420.0,327.182
396,32950.6,519.2,0.88,218.3,420.0,329.506
397,32954.4,519.85,0.88,218.3,420.0,329.54400000000004
398,32995.5,512.5,0.88,218.3,420.0,329.955
399,33110.5,514.3,0.88,218.3,420.0,331.105
400,33231.1,497.7,0.88,218.3,420.0,332.311
401,33288.1,491.85,0.88,218.3,420.0,332.881
402,33380.3,426.9,0.88,218.3,420.0,333.80300000000005
403,33539.4,420.6,0.88,218.3,420.0,335.394
404,33699.7,444.0,0.88,218.3,420.0,336.99699999999996
405,33814.1,425.6,0.88,218.3,420.0,338.14099999999996
406,33890.7,425.2,0.88,218.3,420.0,338.907
407,33942.9,440.75,0.88,218.3,420.0,339.42900000000003
408,34049.7,440.3,0.88,218.3,420.0,340.49699999999996
409,34154.4,441.3,0.88,218.3,420.0,341.54400000000004
410,34358.1,470.8,0.88,218.3,420.0,343.58099999999996
411,34423.6,468.5,0.88,218.3,420.0,344.236
412,34572.2,494.45,0.88,218.3,420.0,345.722
413,34662.6,523.8,0.88,218.3,420.0,346.626
414,34986.9,533.6,0.88,218.3,420.0,349.869
415,35038.2,534.375,0.88,218.3,420.0,350.38199999999995
416,35176.9,586.7,0.88,218.3,420.0,351.769
417,35237.6,536.3,0.88,218.3,420.0,352.376
418,35249.9,548.2,0.88,218.3,420.0,352.499
419,35348.3,571.9,0.88,218.3,420.0,353.483
420,35416.6,563.275,0.88,218.3,420.0,354.166
421,35456.1,580.4,0.88,218.3,420.0,354.561
422,35564.5,560.4,0.88,218.3,420.0,355.645
423,35574.1,556.7,0.88,218.3,420.0,355.741
424,35609.0,543.9,0.88,218.3,420.0,356.09
425,35725.2,546.675,0.88,218.3,420.0,357.25199999999995
426,35801.2,539.0,0.88,218.3,420.0,358.01199999999994
427,35898.6,539.5,0.88,218.3,420.0,358.986
428,35943.3,481.0,0.88,218.3,420.0,359.43300000000005
429,36095.1,526.275,0.88,218.3,420.0,360.95099999999996
430,36287.2,443.0,0.88,218.3,420.0,362.87199999999996
431,36471.1,440.15,0.88,218.3,420.0,364.711
432,36847.4,455.1,0.88,218.3,420.0,368.474
433,37069.7,441.3,0.88,218.3,420.0,370.69699999999995
434,37225.6,450.1,0.88,218.3,420.0,372.256
435,37422.8,443.7,0.88,218.3,420.0,374.228
436,37640.9,427.0,0.88,218.3,420.0,376.409
437,37804.0,418.7,0.88,218.3,420.0,378.04
438,37840.6,418.7,0.88,218.3,420.0,378.406
439,37857.8,410.9,0.88,218.3,420.0,378.57800000000003
440,38046.9,423.8,0.88,218.3,420.0,380.469
441,38080.8,422.3,0.88,218.3,420.0,380.80800000000005
442,38101.8,413.5,0.88,218.3,420.0,381.01800000000003
443,38212.1,442.4,0.88,218.3,420.0,382.121
