,Years,CH4(ppb),Temp(Celsius),Temp(Kelvin),CO2(ppm),years_workaround
385,3884.0,575.0,,,,38.84
386,3900.47876,,-0.12,,,39.0047876
387,3910.0,,,216.8,271.7,39.1
388,3919.72363,,-0.52,,,39.1972363
389,3920.2,569.9914556,,,,39.202
390,3939.896,,-0.19,,,39.39896
391,3960.07056,,-0.41,,,39.6007056
392,3964.7,584.4424811,,,,39.647
393,3979.64185,,0.4,,,39.7964185
394,3999.41675,,-0.56,,,39.994167499999996
395,4004.0,,,217.4,271.6,40.04
396,4019.15869,,-0.59,,,40.191586900000004
397,4037.8606,,0.78,,,40.378606
398,4039.0,564.0,,,,40.39
399,4043.2,602.4646452,,,,40.431999999999995
400,4056.91699,,0.81,,,40.5691699
401,4072.0,591.7,,,,40.72
402,4076.0918,,-1.16,,,40.760918000000004
403,4079.0,597.1554737,,,,40.79
404,4083.0,581.0,,,,40.83
405,4095.42676,,0.89,,,40.9542676
406,4096.0,,,216.7,272.8,40.96
407,4108.0,596.6476978,,,,41.08
408,4114.76318,,0.82,,,41.1476318
409,4134.00732,,-0.59,,,41.3400732
410,4153.67773,,-0.42,,,41.536777300000004
411,4161.0,,,216.5,271.5,41.61
412,4165.6,589.8184557,,,,41.656000000000006
413,4173.31543,,0.06,,,41.733154299999995
414,4192.83838,,0.5,,,41.9283838
415,4212.36182,,-1.57,,,42.1236182
416,4231.44238,,0.67,,,42.31442380000001
417,4250.30615,,1.31,,,42.5030615
418,4269.17041,,-0.2,,,42.691704099999995
419,4288.05469,,1.36,,,42.8805469
420,4301.6,590.127,,,,43.016000000000005
421,4306.5,577.0,,,,43.065
422,4306.93359,,-0.48,,,43.0693359
423,4313.5,583.1917793,,,,43.135
424,4324.0,,,215.9,271.1,43.24
425,4326.36182,,-1.03,,,43.2636182
426,4346.73633,,0.0,,,43.467363299999995
427,4354.3,591.9237093,,,,43.543
428,4367.11133,,0.29,,,43.671113299999995
429,4374.0,,,216.9,269.1,43.74
430,4386.60889,,0.04,,,43.8660889
431,4391.2,577.119004,,,,43.912
432,4396.3,580.0,,,,43.963
433,4400.2,581.0495945,,,,44.001999999999995
434,4406.00635,,-0.32,,,44.0600635
435,4425.51172,,-0.9,,,44.2551172
436,4434.7,587.1366406,,,,44.347
437,4445.25098,,0.35,,,44.4525098
438,4453.6,587.7,,,,44.536
439,4464.99072,,1.33,,,44.6499072
440,4480.0,,,217.3,269.8,44.8
441,4483.77734,,-0.39,,,44.837773399999996
442,4502.65186,,0.78,,,45.0265186
443,4502.9,616.8977809,,,,45.028999999999996
444,4521.39404,,-0.7,,,45.2139404
445,4541.82617,,-0.4,,,45.4182617
446,4552.8,601.5953347,,,,45.528
447,4562.2583,,-0.8,,,45.622583000000006
448,4573.0,,,217.6,271.5,45.73
449,4582.21631,,0.01,,,45.8221631
450,4591.8,601.6308641,,,,45.918
451,4601.92871,,0.16,,,46.0192871
452,4621.9917,,0.27,,,46.219916999999995
453,4641.60693,,-0.56,,,46.4160693
454,4648.4,599.0,,,,46.483999999999995
455,4656.8,601.4185,,,,46.568000000000005
456,4659.7,595.3,,,,46.597
457,4661.22119,,-0.01,,,46.612211900000005
458,4680.94629,,-0.16,,,46.8094629
459,4686.7,606.5437038,,,,46.867
460,4701.09961,,-0.38,,,47.0109961
461,4703.0,,,215.7,270.7,47.03
462,4720.87256,,0.94,,,47.2087256
463,4740.53955,,-0.76,,,47.405395500000004
464,4740.9,603.6,,,,47.409
465,4757.6,635.9298692,,,,47.576
466,4758.7,603.3,,,,47.586999999999996
467,4760.20654,,-1.21,,,47.6020654
468,4766.0,,,217.6,269.3,47.66
469,4780.67578,,-0.28,,,47.80675779999999
470,4787.9,607.9864841,,,,47.879
471,4801.0752,,-0.37,,,48.010752000000004
472,4821.48047,,-1.16,,,48.2148047
473,4842.29346,,-0.32,,,48.4229346
474,4862.72705,,0.67,,,48.6272705
475,4866.6,605.3,,,,48.666000000000004
476,4874.0,,,217.5,268.6,48.74
477,4882.10645,,0.25,,,48.821064500000006
478,4901.39893,,-0.16,,,49.013989300000006
479,4920.32568,,-0.03,,,49.2032568
480,4939.11084,,0.37,,,49.3911084
481,4951.2,632.5764859,,,,49.512
482,4958.24121,,0.98,,,49.5824121
